11:23:35:829 PM | codium_3442928d-4de8-469d-84e9-40d141208ae8_gradient.py |    Line  412  |  DEBUG   ﰲ  Setting gradient._style: none
11:23:35:829 PM | codium_3442928d-4de8-469d-84e9-40d141208ae8_gradient.py |    Line  398  |  DEBUG   ﰲ  Setting gradient._color_sample: False
11:23:35:829 PM | codium_3442928d-4de8-469d-84e9-40d141208ae8_gradient.py |    Line  384  |  DEBUG   ﰲ  Setting gradient._hues: 3
11:23:35:829 PM |   color.py    |    Line  135  |  DEBUG   ﰲ  Called Color.__init__()
11:23:35:829 PM |   color.py    |    Line  199  |  DEBUG   ﰲ  Called Color.original.setter(red
11:23:35:830 PM |   color.py    |    Line  259  |  DEBUG   ﰲ  Called Color.name.setter(red)
11:23:35:830 PM |   color.py    |    Line  275  |  DEBUG   ﰲ  Called Color.mode.setter(Mode.GC)
11:23:35:830 PM |   color.py    |    Line  135  |  DEBUG   ﰲ  Called Color.__init__()
11:23:35:830 PM |   color.py    |    Line  199  |  DEBUG   ﰲ  Called Color.original.setter(green
11:23:35:830 PM |   color.py    |    Line  259  |  DEBUG   ﰲ  Called Color.name.setter(green)
11:23:35:830 PM |   color.py    |    Line  275  |  DEBUG   ﰲ  Called Color.mode.setter(Mode.RICH)
11:23:35:830 PM |   color.py    |    Line  135  |  DEBUG   ﰲ  Called Color.__init__()
11:23:35:830 PM |   color.py    |    Line  199  |  DEBUG   ﰲ  Called Color.original.setter(not_a_color
11:23:35:948 PM | codium_65995c89-7418-4c53-8ed4-df8a08e28142_gradient.py |    Line  412  |  DEBUG   ﰲ  Setting gradient._style: none
11:23:35:948 PM | codium_65995c89-7418-4c53-8ed4-df8a08e28142_gradient.py |    Line  398  |  DEBUG   ﰲ  Setting gradient._color_sample: False
11:23:35:948 PM | codium_65995c89-7418-4c53-8ed4-df8a08e28142_gradient.py |    Line  384  |  DEBUG   ﰲ  Setting gradient._hues: 3
