s,kW/m2,kg/m2/s,kW/m2,C,kW/m2,kW/m3,kW/m3,kW/m2,C
Time,"U","burn","con","gas","gauge","hrrpuv","qr","rad","temp"
 0.0000000E+000, 1.6750494E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001,-1.6467159E-006, 0.0000000E+000,-1.5062906E-006,-1.4820024E-006, 2.0000000E+001
 2.0612660E-001, 1.6750631E+000, 1.4466384E-020, 1.4526139E-006, 2.0002845E+001, 1.4363219E-006, 0.0000000E+000,-7.0802954E-006,-3.2414065E-008, 2.0000006E+001
 4.1225320E-001, 1.6750915E+000, 2.8932768E-020, 5.7568757E-005, 2.0082632E+001, 6.3349753E-005, 0.0000000E+000,-2.0225040E-004, 4.3594669E-006, 2.0000248E+001
 6.1837980E-001, 1.6752574E+000, 2.8932779E-020, 7.4749421E-004, 2.0639482E+001, 7.8900524E-004, 0.0000000E+000,-1.5730852E-003, 2.4189550E-005, 2.0003213E+001
 8.2450640E-001, 1.6754233E+000, 2.8932936E-020, 5.3955190E-003, 2.2991986E+001, 5.5180035E-003, 0.0000000E+000,-7.5185550E-003,-8.9755715E-006, 2.0024063E+001
 1.0306330E+000, 1.6766453E+000, 2.8934127E-020, 2.5907366E-002, 3.0130771E+001, 2.6596640E-002, 0.0000000E+000,-2.6421363E-002,-9.7403286E-005, 2.0121020E+001
 1.2367596E+000, 1.6785584E+000, 2.8940231E-020, 8.4463053E-002, 4.5650048E+001, 8.6789095E-002, 0.0000000E+000,-6.8007375E-002,-8.1426651E-004, 2.0420755E+001
 1.4428862E+000, 1.6804716E+000, 2.8962215E-020, 1.8112131E-001, 6.6224507E+001, 1.8670151E-001, 0.0000000E+000,-1.2978557E-001,-2.8009364E-003, 2.1007728E+001
 1.6490128E+000, 1.6859985E+000, 2.9017830E-020, 2.4808607E-001, 7.5672437E+001, 2.5803676E-001, 0.0000000E+000,-1.6296336E-001,-5.1535960E-003, 2.1669986E+001
 1.8551394E+000, 1.6896292E+000, 2.9113723E-020, 2.3921370E-001, 7.1028991E+001, 2.5157735E-001, 0.0000000E+000,-1.4559348E-001,-7.5284014E-003, 2.2091336E+001
 2.0393466E+000, 1.6932599E+000, 2.9221108E-020, 2.0123897E-001, 6.3700848E+001, 2.1448133E-001, 0.0000000E+000,-1.1960552E-001,-8.5305250E-003, 2.2240915E+001
 2.2610674E+000, 1.7002742E+000, 2.9337759E-020, 1.8025934E-001, 6.2747000E+001, 1.9460215E-001, 0.0000000E+000,-1.1571802E-001,-8.3896456E-003, 2.2326728E+001
 2.4500751E+000, 1.7071802E+000, 2.9451458E-020, 2.0455895E-001, 6.7537791E+001, 2.2128927E-001, 0.0000000E+000,-1.3143809E-001,-8.5385381E-003, 2.2571461E+001
 2.6390828E+000, 1.7121037E+000, 2.9536214E-020, 2.1900018E-001, 7.0328363E+001, 2.3754065E-001, 0.0000000E+000,-1.4082310E-001,-9.1836567E-003, 2.2800271E+001
 2.8280906E+000, 1.7150143E+000, 2.9655433E-020, 2.2952637E-001, 7.2186927E+001, 2.4957162E-001, 0.0000000E+000,-1.4725158E-001,-1.0575152E-002, 2.3077908E+001
 3.0170983E+000, 1.7174989E+000, 2.9759502E-020, 2.3421191E-001, 7.3089935E+001, 2.5544482E-001, 0.0000000E+000,-1.5030800E-001,-1.1570632E-002, 2.3286871E+001
 3.2061060E+000, 1.7205253E+000, 2.9896927E-020, 2.2269856E-001, 7.0879107E+001, 2.4492511E-001, 0.0000000E+000,-1.4199707E-001,-1.2452816E-002, 2.3471159E+001
 3.4581163E+000, 1.7230611E+000, 3.0029442E-020, 1.9386908E-001, 6.5466030E+001, 2.1611473E-001, 0.0000000E+000,-1.2271792E-001,-1.2756092E-002, 2.3525460E+001
 3.6471240E+000, 1.7245943E+000, 3.0146024E-020, 1.8777871E-001, 6.5713460E+001, 2.1028670E-001, 0.0000000E+000,-1.2340186E-001,-1.3013829E-002, 2.3595598E+001
