,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-07-03T10:52:05.854-04:00, 0.103E+00,   0.10306, 0.32812E+01
      2,2023-07-03T10:52:05.937-04:00, 0.103E+00,   0.20613, 0.33594E+01
      3,2023-07-03T10:52:05.982-04:00, 0.103E+00,   0.30919, 0.34062E+01
      4,2023-07-03T10:52:06.068-04:00, 0.103E+00,   0.41225, 0.35000E+01
      5,2023-07-03T10:52:06.101-04:00, 0.103E+00,   0.51532, 0.35312E+01
      6,2023-07-03T10:52:06.195-04:00, 0.103E+00,   0.61838, 0.36250E+01
      7,2023-07-03T10:52:06.223-04:00, 0.103E+00,   0.72144, 0.36562E+01
      8,2023-07-03T10:52:06.310-04:00, 0.103E+00,   0.82451, 0.37344E+01
      9,2023-07-03T10:52:06.354-04:00, 0.103E+00,   0.92757, 0.37812E+01
     10,2023-07-03T10:52:06.443-04:00, 0.103E+00,   1.03063, 0.38750E+01
     20,2023-07-03T10:52:07.160-04:00, 0.811E-01,   2.03935, 0.45781E+01
     30,2023-07-03T10:52:07.727-04:00, 0.630E-01,   2.70209, 0.51406E+01
     40,2023-07-03T10:52:08.305-04:00, 0.630E-01,   3.33211, 0.57188E+01
     50,2023-07-03T10:52:08.744-04:00, 0.630E-01,   3.96214, 0.61562E+01
     60,2023-07-03T10:52:09.315-04:00, 0.630E-01,   4.59216, 0.67344E+01
     70,2023-07-03T10:52:09.942-04:00, 0.693E-01,   5.26629, 0.73594E+01
     80,2023-07-03T10:52:10.434-04:00, 0.693E-01,   5.95932, 0.78438E+01
     90,2023-07-03T10:52:10.980-04:00, 0.762E-01,   6.68007, 0.83750E+01
    100,2023-07-03T10:52:11.803-04:00, 0.762E-01,   7.44240, 0.91719E+01
    200,2023-07-03T10:52:17.558-04:00, 0.702E-01,  14.64085, 0.14906E+02
    300,2023-07-03T10:52:23.811-04:00, 0.761E-01,  21.78256, 0.21125E+02
    400,2023-07-03T10:52:29.527-04:00, 0.757E-01,  28.99066, 0.26781E+02
    500,2023-07-03T10:52:34.870-04:00, 0.778E-01,  36.59641, 0.32062E+02
    600,2023-07-03T10:52:40.234-04:00, 0.707E-01,  44.19368, 0.37391E+02
    700,2023-07-03T10:52:45.286-04:00, 0.714E-01,  51.47952, 0.42438E+02
    800,2023-07-03T10:52:50.473-04:00, 0.728E-01,  58.78546, 0.47625E+02
    900,2023-07-03T10:52:55.806-04:00, 0.793E-01,  66.09716, 0.52922E+02
   1000,2023-07-03T10:53:01.146-04:00, 0.761E-01,  73.63085, 0.58234E+02
   1100,2023-07-03T10:53:06.178-04:00, 0.794E-01,  81.06395, 0.63266E+02
   1200,2023-07-03T10:53:11.287-04:00, 0.713E-01,  88.37710, 0.68359E+02
   1300,2023-07-03T10:53:16.479-04:00, 0.762E-01,  95.88489, 0.73531E+02
   1400,2023-07-03T10:53:21.536-04:00, 0.742E-01, 103.11739, 0.78594E+02
   1500,2023-07-03T10:53:27.599-04:00, 0.692E-01, 110.45854, 0.84656E+02
   1600,2023-07-03T10:53:33.168-04:00, 0.701E-01, 117.77870, 0.90219E+02
   1630,2023-07-03T10:53:34.744-04:00, 0.621E-01, 120.00000, 0.91797E+02
