,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-06-23T07:53:20.778-04:00, 0.319E+00,   0.31933, 0.12516E+02
      2,2023-06-23T07:53:21.139-04:00, 0.319E+00,   0.63866, 0.12656E+02
      3,2023-06-23T07:53:21.684-04:00, 0.205E+00,   0.84390, 0.12938E+02
      4,2023-06-23T07:53:22.270-04:00, 0.205E+00,   1.04915, 0.13250E+02
      5,2023-06-23T07:53:22.867-04:00, 0.997E-01,   1.14882, 0.13594E+02
      6,2023-06-23T07:53:23.587-04:00, 0.997E-01,   1.24849, 0.13953E+02
      7,2023-06-23T07:53:24.315-04:00, 0.997E-01,   1.34816, 0.14219E+02
      8,2023-06-23T07:53:24.820-04:00, 0.110E+00,   1.45779, 0.14547E+02
      9,2023-06-23T07:53:25.823-04:00, 0.499E-01,   1.50771, 0.14984E+02
     10,2023-06-23T07:53:27.256-04:00, 0.499E-01,   1.55763, 0.15234E+02
     20,2023-06-23T07:53:32.608-04:00, 0.652E-01,   2.21428, 0.17359E+02
     30,2023-06-23T07:53:40.142-04:00, 0.457E-01,   2.72396, 0.20297E+02
     40,2023-06-23T07:53:49.593-04:00, 0.325E-01,   3.07717, 0.25828E+02
     50,2023-06-23T07:53:58.332-04:00, 0.291E-01,   3.36865, 0.30125E+02
     60,2023-06-23T07:54:04.918-04:00, 0.261E-01,   3.64481, 0.34719E+02
     70,2023-06-23T07:54:10.879-04:00, 0.347E-01,   3.95950, 0.39109E+02
     80,2023-06-23T07:54:17.499-04:00, 0.420E-01,   4.35735, 0.42938E+02
     90,2023-06-23T07:54:22.088-04:00, 0.372E-01,   4.77260, 0.45016E+02
    100,2023-06-23T07:54:25.862-04:00, 0.486E-01,   5.17823, 0.47156E+02
    200,2023-06-23T07:55:26.835-04:00, 0.460E-01,   8.98348, 0.82156E+02
    300,2023-06-23T07:56:33.831-04:00, 0.398E-01,  13.23504, 0.11606E+03
    400,2023-06-23T07:57:37.482-04:00, 0.340E-01,  17.19941, 0.15259E+03
    500,2023-06-23T07:58:39.187-04:00, 0.421E-01,  21.01950, 0.18836E+03
    600,2023-06-23T07:59:46.847-04:00, 0.443E-01,  24.87187, 0.22730E+03
    700,2023-06-23T08:01:00.602-04:00, 0.405E-01,  29.08684, 0.26391E+03
    800,2023-06-23T08:02:13.984-04:00, 0.420E-01,  32.97584, 0.29969E+03
    900,2023-06-23T08:03:27.905-04:00, 0.422E-01,  36.98821, 0.33853E+03
   1000,2023-06-23T08:04:50.990-04:00, 0.372E-01,  41.13619, 0.38153E+03
   1100,2023-06-23T08:06:17.250-04:00, 0.413E-01,  45.32021, 0.42955E+03
   1200,2023-06-23T08:07:48.391-04:00, 0.399E-01,  49.33115, 0.48336E+03
   1300,2023-06-23T08:09:07.912-04:00, 0.403E-01,  53.54527, 0.52247E+03
   1400,2023-06-23T08:10:39.208-04:00, 0.349E-01,  57.51553, 0.57517E+03
   1460,2023-06-23T08:11:28.541-04:00, 0.199E-01,  60.00000, 0.60322E+03
