s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_POLYSTYRENE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.000E+000, 0.000E+000,-5.111E-001, 1.475E-016, 0.000E+000, 0.000E+000, 0.000E+000, 0.000E+000, 0.000E+000,-5.111E-001, 0.000E+000, 0.000E+000, 0.000E+000, 0.000E+000
 1.001E+001, 5.530E+003,-1.476E+003,-1.185E+002,-4.966E+001, 4.575E-001, 0.000E+000, 5.357E-015, 3.895E+003, 3.886E+003, 0.000E+000, 1.414E-001, 0.000E+000, 0.000E+000
 2.003E+001, 6.001E+003,-1.023E+003,-3.265E+003,-1.752E+002, 5.082E-001, 0.000E+000,-1.785E-014, 1.549E+003, 1.539E+003, 0.000E+000, 1.500E-001, 0.000E+000, 0.000E+000
 3.001E+001, 5.972E+003,-9.485E+002,-4.645E+003,-1.591E+002, 5.090E-001, 0.000E+000,-8.785E-014, 2.290E+002, 2.203E+002, 0.000E+000, 1.500E-001, 0.000E+000, 0.000E+000
 4.003E+001, 6.009E+003,-9.277E+002,-5.053E+003,-1.339E+002, 5.083E-001, 0.000E+000,-4.601E+000,-8.450E+001,-1.096E+002, 0.000E+000, 1.500E-001, 0.000E+000, 1.665E-003
 5.001E+001, 5.997E+003,-8.485E+002,-5.052E+003,-7.795E+001, 5.095E-001, 0.000E+000,-3.608E+001,-4.061E+000,-1.716E+001, 0.000E+000, 1.500E-001, 0.000E+000, 1.373E-002
 6.000E+001, 5.997E+003,-8.540E+002,-5.025E+003,-6.181E+001, 5.076E-001, 0.000E+000,-4.246E+001, 2.237E+001, 1.358E+001, 0.000E+000, 1.500E-001, 0.000E+000, 1.672E-002
