Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 8.155E+00, 8.155E+01, 3.339E+01, 1.015E+02, 2.926E+02, 2.444E+01, 1.884E+01, 2.237E+01, 5.824E+01, 4.206E+00, 3.181E+02, 0.000E+00, 0.000E+00, 1.252E+02, 0.000E+00, 1.089E+03
    1, 1.801E+01, 5.840E+01, 2.378E+01, 6.562E+01, 1.890E+02, 1.477E+01, 1.903E+01, 4.975E+00, 3.509E+01, 2.091E+00, 5.980E+02, 0.000E+00, 0.000E+00, 5.983E+01, 0.000E+00, 1.089E+03
    2, 1.334E+01, 6.124E+01, 2.630E+01, 7.321E+01, 2.149E+02, 2.096E+01, 2.103E+01, 1.086E+02, 4.727E+01, 4.704E+00, 3.969E+02, 0.000E+00, 0.000E+00, 1.002E+02, 0.000E+00, 1.089E+03
    3, 1.942E+01, 5.010E+01, 2.093E+01, 5.780E+01, 1.608E+02, 1.264E+01, 2.001E+01, 4.127E+00, 2.946E+01, 2.125E+00, 6.676E+02, 0.000E+00, 0.000E+00, 4.364E+01, 0.000E+00, 1.089E+03
